[2017-03-06 16:37:37]WorkStatu [rcvTime=2017-03-06 16:19:26.227, imei=800000000000002, msgTime=2017-03-06 16:18:58.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:38]WorkStatu [rcvTime=2017-03-06 16:19:16.711, imei=800000000000009, msgTime=2017-03-06 16:18:18.223, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:38]WorkStatu [rcvTime=2017-03-06 16:19:35.883, imei=800000000000028, msgTime=2017-03-06 16:19:07.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:39]WorkStatu [rcvTime=2017-03-06 16:19:38.711, imei=800000000000016, msgTime=2017-03-06 16:19:10.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:39]WorkStatu [rcvTime=2017-03-06 16:19:06.743, imei=800000000000010, msgTime=2017-03-06 16:18:38.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:39]WorkStatu [rcvTime=2017-03-06 16:19:27.649, imei=800000000000017, msgTime=2017-03-06 16:18:59.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:40]WorkStatu [rcvTime=2017-03-06 16:19:29.477, imei=800000000000001, msgTime=2017-03-06 16:19:01.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:40]WorkStatu [rcvTime=2017-03-06 16:19:36.899, imei=800000000000007, msgTime=2017-03-06 16:19:08.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:40]WorkStatu [rcvTime=2017-03-06 16:19:38.586, imei=800000000000036, msgTime=2017-03-06 16:19:10.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:42]WorkStatu [rcvTime=2017-03-06 16:19:32.071, imei=800000000000030, msgTime=2017-03-06 16:19:04.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:42]WorkStatu [rcvTime=2017-03-06 16:19:36.180, imei=800000000000045, msgTime=2017-03-06 16:19:08.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:43]WorkStatu [rcvTime=2017-03-06 16:19:40.227, imei=800000000000045, msgTime=2017-03-06 16:19:12.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:43]WorkStatu [rcvTime=2017-03-06 16:19:43.946, imei=800000000000028, msgTime=2017-03-06 16:19:15.246, pgnId=13, listItem={72=1, 73=0}]
